PALAVRA,Transc.Fon,VOGAL,F1,F2,F1.NORM,F2.NORM,CONT.PREC,CONT.SEG,VOGAL.SIL.SEG,F1.SIL.SEG,F2.SIL.SEG,F1.SEG.NORM,F2.SEG.NORM,VOGAL.TONICA,DIST.TONICA,ESTR.SIL.PRET,Begin.Time.s,End.Time.s,Duration.ms,AMOSTRA,PARTICIPANTE,SEXO,IDADE,IDADE.CHEGADA,ANOS.SP,CONTEXTO
enxoval,E-S<o>-'vaw,o,688.8945787749,1251.5219523816,477.455,1301.598,S,v,Aw,719.0747325688,1197.8717632589,395.24,1129.185,aw,1,CV,458.1983442519,458.2156133895,17.2691375869,PBSP,MartaS,feminino,32,18,14,enxoval de de louça essas coisa é a mulher
mulher,m<u>-'Ler,u,550.1258133279,925.4450251878,422.05,1132.193,m,L,é,571.3678096055,1724.5234804152,350.386,1383.907,e,1,CV,460.6445082641,460.66452142,20.0131559403,PBSP,MartaS,feminino,32,18,14,enxoval de de louça essas coisa é a mulher
botar,b<o>-'tar,o,560.6294718362,994.6518608068,426.251,1168.223,b,t,a,749.5406956871,1352.746690562,404.503,1204.166,a,1,CV,484.6213431421,484.6525920578,31.2489156335,PBSP,MartaS,feminino,32,18,14,nossa quando foi uma semana depois que era pra gente comer a gente ia botar lá na casa do irmão dele
difícil,d<i>-'fi-siw,i,394.5485774777,2326.5612993585,359.97,1859.942,d,f,i,435.7271620549,1933.4966815904,309.22,1484.946,i,1,CV,487.7520682686,487.7623397266,10.2714579753,PBSP,MartaS,feminino,32,18,14,então nossa muito difícil né porque você acostumada lá
passei,p<a>-'sej,a,549.408348022,1301.6805985956,421.77,1327.558,p,s,ej ,452.4482297678,2057.5130825232,314.28,1545.037,ej,1,CV,492.9703216997,492.9998913108,29.569611026,PBSP,MartaS,feminino,32,18,14,eu nunca passei assim necessidade assim e aqui eu passei
necessidade,n<e>-s<e>-s<i>-'da-de,i,413.6427546465,1675.4442987558,367.578,1521.803,s,d,a,639.0999627095,1862.9295487045,370.969,1450.912,a,1,CV,493.7375877641,493.7554195553,17.8317911925,PBSP,MartaS,feminino,32,18,14,eu nunca passei assim necessidade assim e aqui eu passei
gostava,g<o>s-'ta-va,o,529.5428523726,1113.4735680887,413.835,1229.763,g,s,a,738.7318135556,1469.7462056982,401.201,1260.712,a,1,CVs,501.7053686589,501.7399069341,34.5382751738,PBSP,MartaS,feminino,32,18,14,nossa a minha vontade foi de largar tudo e ir embora sabe porque eu gostava muito dele eu gosto dele
marido,m<a>-'Ri-do,a,500.627804135,1325.8089752758,402.306,1340.09,m,R,i,396.8876949846,1760.6935457666,297.427,1401.456,i,1,CV,505.0409545604,505.0610196536,20.0650931963,PBSP,MartaS,feminino,32,18,14,que é meu marido
lugar,l<u>-'gar,u,388.3634554815,886.7193200482,357.496,1112.052,l,g,a,704.5856550835,1580.6875320494,390.823,1314.421,a,1,CV,536.7208713726,536.7424032199,21.5318473165,PBSP,MartaS,feminino,32,18,14,depois ele me ele comprou um um lugar
buraco,b<u>-'Ra-ko,u,461.6540370036,1089.5022169643,386.763,1217.455,b,R,a,993.1158290705,1663.8875776634,478.431,1354.659,a,1,CV,546.2405052241,546.2588970103,18.3917862496,PBSP,MartaS,feminino,32,18,14,depois ele comprou uma coisa louca longe lá em francisco morato nós chamava franciso buraco
sofrendo,s<o>-'fRE-do,o,616.8070083591,1184.680242203,448.702,1266.912,s,f,E,582.9044022115,2266.4513467272,353.902,1646.075,E,1,CV,554.0842271052,554.107252622,23.0255167826,PBSP,MartaS,feminino,32,18,14,nossa era horrível horrível enquanto eu não saí de lá eu ainda passei quatro ano ainda sofrendo lá
melhor,m<e>-'Lor,e,573.4596370377,2413.2052161292,431.385,1904.923,m,L,ó,686.4380387292,1497.0466995388,385.334,1273.829,o,1,CV,575.6598578481,575.6901372683,30.27942019,PBSP,MartaS,feminino,32,18,14,é melhor
pagava,p<a>-'ga-va,a,642.528162512,1361.1807323264,458.971,1358.44,p,g,a,848.6250268148,1754.7846202118,434.563,1398.62,a,1,CV,577.8531224913,577.8656609111,12.5384197983,PBSP,MartaS,feminino,32,18,14,só pagava aluguel
pagar,p<a>-'gar,a,660.2071397865,1344.2362401464,466.019,1349.712,p,g,a,711.6737018871,1424.186171562,392.967,1238.731,a,1,CV,580.6806918102,580.6975194812,16.8276709118,PBSP,MartaS,feminino,32,18,14,só o dinheiro que ele que ele trabalhava só dava pra pagar o aluguel
trabalhava,tR<a>-b<a>-'La-va,a,631.3366027618,1583.0807525148,454.49,1473.689,R,b,a,696.8517094162,1292.6856802592,388.465,1175.095,a,2,CCV,582.3524761733,582.3722123305,19.7361572423,PBSP,MartaS,feminino,32,18,14,eu trabalhava mas só dava pra comprar remédio pra minha filha
remédio,h<e>-'me-dio,e,735.1502158298,1656.3511841911,495.939,1511.733,h,m,é,651.837806224,2159.3043632136,374.828,1594.138,e,1,CV,583.7219714509,583.7394495199,17.4780690104,PBSP,MartaS,feminino,32,18,14,eu trabalhava mas só dava pra comprar remédio pra minha filha
tivesse,t<i>-'ve-se,i,485.8002845783,2287.6914079959,396.378,1839.802,t,v,é,561.5839778833,1609.4708385001,347.427,1328.248,e,1,CV,587.6733941786,587.6819578338,8.5636551822,PBSP,MartaS,feminino,32,18,14,sabe mas só que assim se eu tivesse os meus pai vivo
ficaria,f<i>-k<a>-'Ria,i,442.8611788161,2126.694599193,379.248,1756.106,f,k,a,733.2375774244,1884.6303074663,399.528,1461.37,ia,2,CV,589.8543287969,589.8646953268,10.3665299573,PBSP,MartaS,feminino,32,18,14,eu ficaria aqui não
morar,m<o>-'Rar,o,699.1497017182,966.990219043,481.563,1153.676,m,R,a,691.5563869892,1575.8889937584,386.878,1312.117,a,1,CV,604.4306633133,604.4495771306,18.9138173571,PBSP,MartaS,feminino,32,18,14,pra morar mesmo porque aqui não é o lugar da gente assim
diferente,d<i>-f<e>-'RE-te,e,566.929840443,1375.4240084675,428.771,1365.825,f,R,E,661.4693450651,1864.8984697667,377.744,1451.798,E,1,CV,614.2758087473,614.2929512235,17.1424761883,PBSP,MartaS,feminino,32,18,14,quem é criado aqui nasce vive aqui é diferente
nascida,n<a>-'si-da,a,580.3807769789,1498.2270509129,434.139,1429.604,n,s,i,390.3675747518,1720.3900419648,295.455,1381.957,i,1,CV,617.3220537597,617.3333497209,11.295961178,PBSP,MartaS,feminino,32,18,14,fui nascida lá
batalhando,b<a>-t<a>-'LA-do,a,707.2108803169,1339.5680415354,484.783,1347.251,b,t,a,751.3070328734,1593.8988040378,405.017,1320.803,A,2,CV,626.0739602438,626.1047070993,30.746855493,PBSP,MartaS,feminino,32,18,14,estão aqui estão batalhando
batalhando,b<a>-t<a>-'LA-do,a,751.3070328734,1593.8988040378,502.381,1479.508,t,L,A,644.0495244744,1399.933586607,372.47,1227.032,A,1,CV,626.2002716502,626.2235395408,23.2678906435,PBSP,MartaS,feminino,32,18,14,estão aqui estão batalhando
querendo,k<e>-'RE-do,e,606.5336179227,2003.9659685936,444.595,1692.327,k,R,E,619.9094365185,1599.5536435311,365.137,1323.462,E,1,CV,627.9697787432,627.9819784626,12.1997193955,PBSP,MartaS,feminino,32,18,14,mas estão querendo ir um dia
problema,pR<o>-'ble-ma,o,563.0503898471,918.8109877558,427.231,1128.836,R,b,e,512.4994714472,1681.1691874894,332.504,1362.991,e,1,CCV,632.1872930659,632.207851563,20.5584971274,PBSP,MartaS,feminino,32,18,14,ah esse é o problema
pedaço,p<e>-'da-so,e,526.4144405898,1945.53331514,412.621,1662.116,p,d,a,649.6425499803,1790.627636526,374.142,1415.814,a,1,CV,644.8714086288,644.8864343179,15.0256891159,PBSP,MartaS,feminino,32,18,14,e e já deu um pedaço pra mim fazer
fazer,f<a>-'zer,a,669.0111742089,1309.181107386,469.52,1331.586,f,z,e,412.8799207495,2398.596851105,302.273,1709.889,e,1,CV,645.5495124707,645.5852453028,35.7328320596,PBSP,MartaS,feminino,32,18,14,e e já deu um pedaço pra mim fazer
cidadezinha,s<i>-d<a>-d<e>-'zi-Na,a,718.24360753,1721.5394611589,489.171,1545.748,d,d,e,492.7715975096,1896.2617003205,326.544,1467.042,i,2,CV,666.9794711231,666.9985840333,19.1129101714,PBSP,MartaS,feminino,32,18,14,é uma cidadezinha chamada se chama casserengue
casserengue,k<a>-s<e>-'RE-ge,e,629.3687078311,2283.0582439794,453.697,1837.34,s,R,E,607.5061911548,1709.9494664932,361.364,1376.817,E,1,CV,669.2108325957,669.2424450721,31.6124764247,PBSP,MartaS,feminino,32,18,14,é uma cidadezinha chamada se chama casserengue
município,m<u>-n<i>-'si-pio,u,444.0439443879,1039.1177984395,379.714,1191.272,m,n,i,457.0122262275,1647.5936287852,315.652,1346.683,i,2,CV,674.6956202388,674.713867528,18.2472892398,PBSP,MartaS,feminino,32,18,14,é pertinho do município de solânea
parentada,p<a>-RE-'ta-da,a,787.7517119896,1597.7327652282,516.944,1481.298,p,R,E,769.3464413553,1833.1769480809,410.506,1436.554,a,2,CV,681.7727368456,681.7993287207,26.591875021,PBSP,MartaS,feminino,32,18,14,e as parentada tudo por lá
apesar,<a>-p<e>-'zar,e,495.2315482087,1688.0926513556,400.159,1528.293,p,z,a,796.3878223764,1517.5835607095,418.696,1283.933,a,1,CV,706.385734801,706.4052600499,19.5252489078,PBSP,MartaS,feminino,32,18,14,apesar que também ter uns canto sujo também1e
lugar,l<u>-'gar,u,439.0983447278,959.2417659281,377.754,1149.648,l,g,a,747.078570813,1231.3461321313,403.731,1145.493,a,1,CV,708.3811718509,708.4080060998,26.834248882,PBSP,MartaS,feminino,32,18,14,todo lugar tem né
cidade,s<i>-'da-de,i,545.1883893158,1674.8827702376,420.09,1521.579,s,d,a,687.4963989704,1611.8538682598,385.635,1329.488,a,1,CV,711.0477871282,711.060598318,12.8111897889,PBSP,MartaS,feminino,32,18,14,aqui também é uma cidade tão bonita e também tem uns canto
primeira,pR<i>-'mej-Ra,i,514.7819893274,1661.6841545926,407.954,1514.642,R,m,ej ,345.9515762168,1582.1419289121,281.947,1315.13,ej,1,CCV,791.0128976169,791.0250682472,12.1706302994,PBSP,MartaS,feminino,32,18,14,nove ano nove ano porque ela era professora da minha primeira patroa
ficar,f<i>-'kar,i,420.484988669,1924.4660877588,370.286,1651.151,f,k,a,812.4000712537,1549.5901511966,423.585,1299.354,a,1,CV,827.1954738421,827.2076444724,12.1706302994,PBSP,MartaS,feminino,32,18,14,porque ele não quis porque ele falou assim que ia ficar muito dependente sabe
dependente,d<e>-pE-'dE-te,e,527.9039003362,1932.7849110152,413.181,1655.403,d,p,E,407.7212188281,1724.3668242482,300.729,1383.907,E,2,CV,827.7441176246,827.7548565115,10.7388868994,PBSP,MartaS,feminino,32,18,14,porque ele não quis porque ele falou assim que ia ficar muito dependente sabe
